EX,Thickness t,Length X,Width Y,Th=0.02,Th=0.04,Th=0.06,Th=0.08,Th=0.1,Th=0.15,Th=0.2,Th=0.3
6.00E+10,0.02,1,1,13200,52000,130000,245000,380000,730000,1300000,2900000
9.00E+10,0.04,1.25,1,13332,52520,131300,247450,383800,737300,1313000,2929000
1.20E+11,0.06,1.5,1,13464,53040,132600,249900,387600,744600,1326130,2958000
1.50E+11,0.08,1.75,1,13596,53560,133900,252350,391400,751900,1339391.3,2987000
1.80E+11,0.1,2,1,13728,54080,135200,254800,395200,759200,1352785.213,3016000
2.10E+11,0.15,2.25,1,13860,54600,136500,257250,399000,766500,1366313.065,3045000
0,0.2,3,1,13992,55120,137800,259700,402800,773800,1379976.196,3074000
0,0.3,3.5,1,14124,55640,139100,262150,406600,781100,1393775.958,3103000
0,0,4,1,14256,56160,140400,264600,410400,788400,1407713.717,3132000
0,0,5,1,14388,56680,141700,267050,414200,795700,1421790.854,3161000
